Date,Open,High,Low,Close,Adj Close,Volume,Day
2011-05-04,47.740002,47.740002,47.740002,47.740002,36.737652,0,0
2011-05-05,47.310001,47.310001,47.310001,47.310001,36.406757,0,1
2011-05-06,47.5,47.5,47.5,47.5,36.552959,0,2
2011-05-09,47.709999,47.709999,47.709999,47.709999,36.714565,0,3
2011-05-10,48.099998,48.099998,48.099998,48.099998,37.014706,0,4
2011-05-11,47.59,47.59,47.59,47.59,36.622208,0,5
2011-05-12,47.830002,47.830002,47.830002,47.830002,36.806915,0,6
2011-05-13,47.439999,47.439999,47.439999,47.439999,36.506786,0,7
2011-05-16,47.150002,47.150002,47.150002,47.150002,36.283623,0,8
2011-05-17,47.150002,47.150002,47.150002,47.150002,36.283623,0,9
2011-05-18,47.57,47.57,47.57,47.57,36.606831,0,10
2011-05-19,47.68,47.68,47.68,47.68,36.691483,0,11
2011-05-20,47.310001,47.310001,47.310001,47.310001,36.406757,0,12
2011-05-23,46.75,46.75,46.75,46.75,35.975822,0,13
2011-05-24,46.709999,46.709999,46.709999,46.709999,35.945019,0,14
2011-05-25,46.860001,46.860001,46.860001,46.860001,36.060459,0,15
2011-05-26,47.060001,47.060001,47.060001,47.060001,36.214367,0,16
2011-05-27,47.259998,47.259998,47.259998,47.259998,36.368275,0,17
2011-05-31,47.759998,47.759998,47.759998,47.759998,36.75304,0,18
2011-06-01,46.68,46.68,46.68,46.68,35.92194,0,19
2011-06-02,46.619999,46.619999,46.619999,46.619999,35.875767,0,20
2011-06-03,46.169998,46.169998,46.169998,46.169998,35.529484,0,21
2011-06-06,45.68,45.68,45.68,45.68,35.152401,0,22
2011-06-07,45.639999,45.639999,45.639999,45.639999,35.121624,0,23
2011-06-08,45.450001,45.450001,45.450001,45.450001,34.975422,0,24
2011-06-09,45.790001,45.790001,45.790001,45.790001,35.237064,0,25
2011-06-10,45.150002,45.150002,45.150002,45.150002,34.74456,0,26
2011-06-13,45.189999,45.189999,45.189999,45.189999,34.775326,0,27
2011-06-14,45.77,45.77,45.77,45.77,35.221668,0,28
2011-06-15,44.970001,44.970001,44.970001,44.970001,34.606033,0,29
2011-06-16,45.060001,45.060001,45.060001,45.060001,34.675297,0,30
2011-06-17,45.189999,45.189999,45.189999,45.189999,34.775326,0,31
2011-06-20,45.439999,45.439999,45.439999,45.439999,34.967724,0,32
2011-06-21,46.049999,46.049999,46.049999,46.049999,35.437134,0,33
2011-06-22,45.759998,45.759998,45.759998,45.759998,35.213974,0,34
2011-06-23,45.630001,45.630001,45.630001,45.630001,35.113937,0,35
2011-06-24,45.09,45.09,45.09,45.09,34.698383,0,36
2011-06-27,45.509998,45.509998,45.509998,45.509998,35.021587,0,37
2011-06-28,46.110001,46.110001,46.110001,46.110001,35.483303,0,38
2011-06-29,46.5,46.5,46.5,46.5,35.783428,0,39
2011-06-30,46.970001,46.970001,46.970001,46.970001,36.145123,0,40
2011-07-01,47.650002,47.650002,47.650002,47.650002,36.668404,0,41
2011-07-05,47.59,47.59,47.59,47.59,36.622208,0,42
2011-07-06,47.650002,47.650002,47.650002,47.650002,36.668404,0,43
2011-07-07,48.150002,48.150002,48.150002,48.150002,37.053165,0,44
2011-07-08,47.580002,47.580002,47.580002,47.580002,36.614525,0,45
2011-07-11,46.720001,46.720001,46.720001,46.720001,35.952721,0,46
2011-07-12,46.509998,46.509998,46.509998,46.509998,35.791119,0,47
2011-07-13,46.66,46.66,46.66,46.66,35.906544,0,48
2011-07-14,46.349998,46.349998,46.349998,46.349998,35.667988,0,49
2011-07-15,46.610001,46.610001,46.610001,46.610001,35.86808,0,50
2011-07-18,46.23,46.23,46.23,46.23,35.575653,0,51
2011-07-19,46.98,46.98,46.98,46.98,36.152817,0,52
2011-07-20,46.959999,46.959999,46.959999,46.959999,36.137405,0,53
2011-07-21,47.599998,47.599998,47.599998,47.599998,36.629921,0,54
2011-07-22,47.639999,47.639999,47.639999,47.639999,36.660706,0,55
2011-07-25,47.369999,47.369999,47.369999,47.369999,36.452927,0,56
2011-07-26,47.18,47.18,47.18,47.18,36.306713,0,57
2011-07-27,46.220001,46.220001,46.220001,46.220001,35.567959,0,58
2011-07-28,46.080002,46.080002,46.080002,46.080002,35.460224,0,59
2011-07-29,45.779999,45.779999,45.779999,45.779999,35.229347,0,60
2011-08-01,45.59,45.59,45.59,45.59,35.08316,0,61
2011-08-02,44.43,44.43,44.43,44.43,34.190502,0,62
2011-08-03,44.66,44.66,44.66,44.66,34.367485,0,63
2011-08-04,42.529999,42.529999,42.529999,42.529999,32.728363,0,64
2011-08-05,42.509998,42.509998,42.509998,42.509998,32.712963,0,65
2011-08-08,39.68,39.68,39.68,39.68,30.535192,0,66
2011-08-09,41.560001,41.560001,41.560001,41.560001,31.981922,0,67
2011-08-10,39.75,39.75,39.75,39.75,30.589062,0,68
2011-08-11,41.59,41.59,41.59,41.59,32.005001,0,69
2011-08-12,41.810001,41.810001,41.810001,41.810001,32.174305,0,70
2011-08-15,42.720001,42.720001,42.720001,42.720001,32.874577,0,71
2011-08-16,42.32,42.32,42.32,42.32,32.566765,0,72
2011-08-17,42.369999,42.369999,42.369999,42.369999,32.605244,0,73
2011-08-18,40.48,40.48,40.48,40.48,31.150826,0,74
2011-08-19,39.880001,39.880001,39.880001,39.880001,30.689098,0,75
2011-08-22,39.889999,39.889999,39.889999,39.889999,30.696795,0,76
2011-08-23,41.25,41.25,41.25,41.25,31.743361,0,77
2011-08-24,41.799999,41.799999,41.799999,41.799999,32.166615,0,78
2011-08-25,41.150002,41.150002,41.150002,41.150002,31.666403,0,79
2011-08-26,41.779999,41.779999,41.779999,41.779999,32.151215,0,80
2011-08-29,42.970001,42.970001,42.970001,42.970001,33.066952,0,81
2011-08-30,43.07,43.07,43.07,43.07,33.143921,0,82
2011-08-31,43.290001,43.290001,43.290001,43.290001,33.313221,0,83
2011-09-01,42.779999,42.779999,42.779999,42.779999,32.920753,0,84
2011-09-02,41.700001,41.700001,41.700001,41.700001,32.089653,0,85
2011-09-06,41.389999,41.389999,41.389999,41.389999,31.851101,0,86
2011-09-07,42.59,42.59,42.59,42.59,32.774544,0,87
2011-09-08,42.139999,42.139999,42.139999,42.139999,32.428253,0,88
2011-09-09,41.02,41.02,41.02,41.02,31.566376,0,89
2011-09-12,41.299999,41.299999,41.299999,41.299999,31.781849,0,90
2011-09-13,41.689999,41.689999,41.689999,41.689999,32.081947,0,91
2011-09-14,42.259998,42.259998,42.259998,42.259998,32.520588,0,92
2011-09-15,42.990002,42.990002,42.990002,42.990002,33.082359,0,93
2011-09-16,43.240002,43.240002,43.240002,43.240002,33.274754,0,94
2011-09-19,42.810001,42.810001,42.810001,42.810001,32.943851,0,95
2011-09-20,42.740002,42.740002,42.740002,42.740002,32.889965,0,96
2011-09-21,41.490002,41.490002,41.490002,41.490002,31.928062,0,97
2011-09-22,40.169998,40.169998,40.169998,40.169998,30.912266,0,98
2011-09-23,40.419998,40.419998,40.419998,40.419998,31.104647,0,99
2011-09-26,41.360001,41.360001,41.360001,41.360001,31.828003,0,100
2011-09-27,41.799999,41.799999,41.799999,41.799999,32.166615,0,101
2011-09-28,40.950001,40.950001,40.950001,40.950001,31.512508,0,102
2011-09-29,41.279999,41.279999,41.279999,41.279999,31.766445,0,103
2011-09-30,40.25,40.25,40.25,40.25,30.973831,0,104
2011-10-03,39.099998,39.099998,39.099998,39.099998,30.088861,0,105
2011-10-04,39.990002,39.990002,39.990002,39.990002,30.77375,0,106
2011-10-05,40.720001,40.720001,40.720001,40.720001,31.335518,0,107
2011-10-06,41.470001,41.470001,41.470001,41.470001,31.912663,0,108
2011-10-07,40.919998,40.919998,40.919998,40.919998,31.659662,0,109
2011-10-10,42.310001,42.310001,42.310001,42.310001,32.735096,0,110
2011-10-11,42.330002,42.330002,42.330002,42.330002,32.750584,0,111
2011-10-12,42.75,42.75,42.75,42.75,33.075531,0,112
2011-10-13,42.630001,42.630001,42.630001,42.630001,32.982677,0,113
2011-10-14,43.369999,43.369999,43.369999,43.369999,33.555206,0,114
2011-10-17,42.529999,42.529999,42.529999,42.529999,32.905312,0,115
2011-10-18,43.400002,43.400002,43.400002,43.400002,33.578423,0,116
2011-10-19,42.860001,42.860001,42.860001,42.860001,33.160625,0,117
2011-10-20,43.060001,43.060001,43.060001,43.060001,33.315361,0,118
2011-10-21,43.869999,43.869999,43.869999,43.869999,33.942078,0,119
2011-10-24,44.43,44.43,44.43,44.43,34.375347,0,120
2011-10-25,43.540001,43.540001,43.540001,43.540001,33.68676,0,121
2011-10-26,44,44,44,44,34.042645,0,122
2011-10-27,45.52,45.52,45.52,45.52,35.218678,0,123
2011-10-28,45.529999,45.529999,45.529999,45.529999,35.226414,0,124
2011-10-31,44.41,44.41,44.41,44.41,34.359867,0,125
2011-11-01,43.169998,43.169998,43.169998,43.169998,33.400482,0,126
2011-11-02,43.869999,43.869999,43.869999,43.869999,33.942078,0,127
2011-11-03,44.700001,44.700001,44.700001,44.700001,34.584251,0,128
2011-11-04,44.419998,44.419998,44.419998,44.419998,34.367599,0,129
2011-11-07,44.700001,44.700001,44.700001,44.700001,34.584251,0,130
2011-11-08,45.25,45.25,45.25,45.25,35.009762,0,131
2011-11-09,43.599998,43.599998,43.599998,43.599998,33.733154,0,132
2011-11-10,43.98,43.98,43.98,43.98,34.027168,0,133
2011-11-11,44.84,44.84,44.84,44.84,34.692539,0,134
2011-11-14,44.41,44.41,44.41,44.41,34.359867,0,135
2011-11-15,44.630001,44.630001,44.630001,44.630001,34.530083,0,136
2011-11-16,43.900002,43.900002,43.900002,43.900002,33.965294,0,137
2011-11-17,43.169998,43.169998,43.169998,43.169998,33.400482,0,138
2011-11-18,43.150002,43.150002,43.150002,43.150002,33.385002,0,139
2011-11-21,42.349998,42.349998,42.349998,42.349998,32.766048,0,140
2011-11-22,42.18,42.18,42.18,42.18,32.634518,0,141
2011-11-23,41.25,41.25,41.25,41.25,31.914976,0,142
2011-11-25,41.139999,41.139999,41.139999,41.139999,31.829868,0,143
2011-11-28,42.349998,42.349998,42.349998,42.349998,32.766048,0,144
2011-11-29,42.459999,42.459999,42.459999,42.459999,32.851151,0,145
2011-11-30,44.310001,44.310001,44.310001,44.310001,34.282497,0,146
2011-12-01,44.220001,44.220001,44.220001,44.220001,34.212856,0,147
2011-12-02,44.220001,44.220001,44.220001,44.220001,34.212856,0,148
2011-12-05,44.669998,44.669998,44.669998,44.669998,34.561031,0,149
2011-12-06,44.720001,44.720001,44.720001,44.720001,34.599712,0,150
2011-12-07,44.830002,44.830002,44.830002,44.830002,34.684803,0,151
2011-12-08,43.880001,43.880001,43.880001,43.880001,33.949806,0,152
2011-12-09,44.619999,44.619999,44.619999,44.619999,34.522335,0,153
2011-12-12,43.959999,43.959999,43.959999,43.959999,34.011715,0,154
